,rec_id,First.Name,Age,Gender,Income,Birthday,Hometown,Phone.Number
1,rec-0-org,emoiily,41,m,64382.793,07-08-2005,newark,(503) 604-6219
2,rec-1-org,bridgt,27,f,112745.789,12-02-2011,newark,(247) 369-8108
5,rec-12-org,bianca,51,NA,48070.982,10-01-2012,newark,(473) 228-3124
6,rec-13-org,sarzah,68,NA,116041.122,06-12-2005,newark,(706) 425-7413
7,rec-14-org,bharrson,28,NA,66854.714,15-07-2007,newark,(438) 312-2229
8,rec-15-org,jonahr,75,m,47078.769,26-05-2007,newark,(570) 603-6158
12,rec-19-org,danielk,66,NA,82361.384,07-07-2010,newark,(314) 416-7449
13,rec-2-org,ztrshya,18,f,170270.755,03-01-2003,newark,(935) 295-8106
14,rec-3-org,danste,79,NA,99191.737,28-11-2001,newark,(768) 408-2903
20,rec-9-org,sphie,88,f,23933.622,15-08-2010,newark,(616) 796-5515
